,ticker,date,trade
319,BCO,2023-04-04,
320,BCOW,2023-04-04,
321,BCPC,2023-04-04,
322,BCSF,2023-04-04,0.0
323,BCTX,2023-04-04,
324,BCYC,2023-04-04,
325,BDC,2023-04-04,
326,BDL,2023-04-04,
327,BDX,2023-04-04,
328,BE,2023-04-04,
329,BEAM,2023-04-04,
330,BECN,2023-04-04,
331,BEEM,2023-04-04,
332,BELFA,2023-04-04,
333,BEN,2023-04-04,
334,BERY,2023-04-04,
335,BF.B,2023-04-04,
336,BFAM,2023-04-04,
337,BFC,2023-04-04,
338,BFH,2023-04-04,
339,BFIN,2023-04-04,
340,BFS,2023-04-04,
341,BFST,2023-04-04,
342,BG,2023-04-04,
343,BGFV,2023-04-04,
344,BGNE,2023-04-04,
345,BGS,2023-04-04,
346,BGSF,2023-04-04,
347,BH,2023-04-04,
348,BHB,2023-04-04,
349,BHE,2023-04-04,
350,BHF,2023-04-04,
351,BHLB,2023-04-04,
352,BIG,2023-04-04,
353,BIGC,2023-04-04,0.0
354,BIIB,2023-04-04,
355,BILL,2023-04-04,
356,BIO,2023-04-04,0.0
357,BIVI,2023-04-04,
358,BJ,2023-04-04,
359,BJRI,2023-04-04,
360,BK,2023-04-04,
361,BKE,2023-04-04,
362,BKH,2023-04-04,
363,BKI,2023-04-04,
364,BKNG,2023-04-04,
365,BKR,2023-04-04,
366,BKSC,2023-04-04,
367,BKU,2023-04-04,
368,BL,2023-04-04,
369,BLBD,2023-04-04,
370,BLD,2023-04-04,
371,BLDR,2023-04-04,
372,BLFS,2023-04-04,
373,BLFY,2023-04-04,
374,BLK,2023-04-04,
375,BLKB,2023-04-04,
376,BLMN,2023-04-04,
377,BLNK,2023-04-04,0.0
378,BLPH,2023-04-04,
379,BMBL,2023-04-04,
380,BMEA,2023-04-04,
381,BMI,2023-04-04,
382,BMRC,2023-04-04,
383,BMRN,2023-04-04,
384,BMY,2023-04-04,
385,BNIX,2023-04-04,
386,BNL,2023-04-04,
387,BOC,2023-04-04,
388,BOH,2023-04-04,
389,BOKF,2023-04-04,
390,BOOM,2023-04-04,
391,BOOT,2023-04-04,
392,BOTJ,2023-04-04,
393,BPMC,2023-04-04,
394,BPOP,2023-04-04,0.0
395,BR,2023-04-04,
396,BRBS,2023-04-04,
397,BRC,2023-04-04,
398,BRCC,2023-04-04,
399,BRDG,2023-04-04,
400,BRID,2023-04-04,
401,BRK.B,2023-04-04,
402,BRKL,2023-04-04,
403,BRKR,2023-04-04,
404,BRO,2023-04-04,
405,BROS,2023-04-04,
406,BRP,2023-04-04,
407,BRSP,2023-04-04,
408,BRT,2023-04-04,
409,BRX,2023-04-04,
410,BRY,2023-04-04,0.0
411,BRZE,2023-04-04,
412,BSBK,2023-04-04,
413,BSET,2023-04-04,
414,BSM,2023-04-04,
415,BSRR,2023-04-04,
416,BSVN,2023-04-04,0.0
417,BSX,2023-04-04,
418,BSY,2023-04-04,
419,BTAI,2023-04-04,
420,BTU,2023-04-04,
421,BURL,2023-04-04,
422,BUSE,2023-04-04,
423,BV,2023-04-04,
424,BVH,2023-04-04,
425,BW,2023-04-04,
426,BWA,2023-04-04,
427,BWB,2023-04-04,
428,BWFG,2023-04-04,
429,BWMN,2023-04-04,
430,BWXT,2023-04-04,
431,BX,2023-04-04,
432,BXC,2023-04-04,
433,BXMT,2023-04-04,
434,BXP,2023-04-04,
435,BXSL,2023-04-04,
436,BY,2023-04-04,
437,BYD,2023-04-04,
438,BYRN,2023-04-04,
439,BZH,2023-04-04,
440,C,2023-04-04,
441,CAAS,2023-04-04,
442,CABA,2023-04-04,
443,CABO,2023-04-04,0.0
444,CAC,2023-04-04,
445,CACC,2023-04-04,
446,CACI,2023-04-04,
447,CAG,2023-04-04,
448,CAKE,2023-04-04,
449,CAL,2023-04-04,
450,CALB,2023-04-04,0.0
451,CALM,2023-04-04,
452,CALX,2023-04-04,
453,CAPL,2023-04-04,
454,CARG,2023-04-04,
455,CARR,2023-04-04,
456,CARS,2023-04-04,
457,CASH,2023-04-04,
458,CASS,2023-04-04,
459,CASY,2023-04-04,
460,CAT,2023-04-04,
461,CATC,2023-04-04,
462,CATO,2023-04-04,
463,CATY,2023-04-04,
464,CB,2023-04-04,
465,CBAN,2023-04-04,
466,CBAY,2023-04-04,0.0
467,CBFV,2023-04-04,
468,CBL,2023-04-04,
469,CBNK,2023-04-04,
470,CBRE,2023-04-04,
471,CBRL,2023-04-04,
472,CBSH,2023-04-04,
473,CBT,2023-04-04,
474,CBU,2023-04-04,
475,CBZ,2023-04-04,
476,CC,2023-04-04,
477,CCAP,2023-04-04,
478,CCB,2023-04-04,
479,CCBG,2023-04-04,
480,CCCS,2023-04-04,
481,CCF,2023-04-04,
482,CCI,2023-04-04,
483,CCK,2023-04-04,
484,CCL,2023-04-04,
485,CCNE,2023-04-04,
486,CCRD,2023-04-04,
487,CCRN,2023-04-04,
488,CCS,2023-04-04,
489,CDAY,2023-04-04,
490,CDMO,2023-04-04,
491,CDNA,2023-04-04,0.0
492,CDNS,2023-04-04,
493,CDRE,2023-04-04,
494,CDW,2023-04-04,
495,CE,2023-04-04,
496,CECO,2023-04-04,
497,CEG,2023-04-04,
498,CEIX,2023-04-04,
499,CELC,2023-04-04,
500,CELH,2023-04-04,
501,CENT,2023-04-04,
502,CENX,2023-04-04,0.0
503,CEQP,2023-04-04,
504,CERE,2023-04-04,
505,CERT,2023-04-04,
506,CETX,2023-04-04,
507,CEVA,2023-04-04,
508,CF,2023-04-04,
509,CFB,2023-04-04,
510,CFBK,2023-04-04,
511,CFFI,2023-04-04,0.0
512,CFFN,2023-04-04,
513,CFG,2023-04-04,
514,CFLT,2023-04-04,
515,CFR,2023-04-04,
516,CFSB,2023-04-04,
517,CG,2023-04-04,
518,CGBD,2023-04-04,
519,CGEM,2023-04-04,
520,CGNX,2023-04-04,
521,CHCO,2023-04-04,
522,CHCT,2023-04-04,
523,CHD,2023-04-04,
524,CHDN,2023-04-04,
525,CHE,2023-04-04,
526,CHEF,2023-04-04,
527,CHGG,2023-04-04,
528,CHH,2023-04-04,
529,CHK,2023-04-04,
530,CHMG,2023-04-04,0.0
531,CHMI,2023-04-04,
532,CHPT,2023-04-04,
533,CHRD,2023-04-04,
534,CHRW,2023-04-04,
535,CHS,2023-04-04,
536,CHTR,2023-04-04,
537,CHUY,2023-04-04,
538,CHWY,2023-04-04,
539,CHX,2023-04-04,
540,CI,2023-04-04,
541,CIEN,2023-04-04,
542,CIM,2023-04-04,
543,CINF,2023-04-04,0.0
544,CIO,2023-04-04,
545,CION,2023-04-04,
546,CIR,2023-04-04,
547,CIVB,2023-04-04,
548,CIVI,2023-04-04,0.0
549,CIX,2023-04-04,
550,CIZN,2023-04-04,
551,CKX,2023-04-04,
552,CL,2023-04-04,
553,CLAR,2023-04-04,0.0
554,CLB,2023-04-04,
555,CLBK,2023-04-04,
556,CLBT,2023-04-04,
557,CLDT,2023-04-04,
558,CLDX,2023-04-04,
559,CLF,2023-04-04,
560,CLFD,2023-04-04,
561,CLH,2023-04-04,
562,CLMB,2023-04-04,
563,CLPR,2023-04-04,
564,CLPT,2023-04-04,
565,CLST,2023-04-04,
566,CLW,2023-04-04,
567,CLX,2023-04-04,
568,CMA,2023-04-04,
569,CMBM,2023-04-04,
570,CMC,2023-04-04,
571,CMCO,2023-04-04,
572,CMCSA,2023-04-04,
573,CME,2023-04-04,
574,CMG,2023-04-04,
575,CMI,2023-04-04,
576,CMP,2023-04-04,
577,CMPS,2023-04-04,
578,CMS,2023-04-04,
579,CMT,2023-04-04,
580,CMTG,2023-04-04,
581,CMTL,2023-04-04,
