date,best,worst
2014-09,-0.04843220383881996,-0.07961831904773133
2014-10,0.009888851710129508,-0.014742311614681963
2014-11,-0.04809287451709679,-0.013323207980720325
2014-12,0.008923373036523104,0.028338417596823998
2015-01,-0.04333395311230558,-0.056810552147653647
2015-02,0.04592698990163623,0.16807728138868697
2015-03,0.020327773952158144,-0.07674857233010696
2015-04,-0.0037602238469116784,0.12685102264629677
2015-05,0.003147493725809908,-0.06161515836021861
2015-06,0.004853642397501965,-0.03906871549668721
2015-07,0.007410592860648196,-0.1851342877803836
2015-08,-0.01916602799959944,0.02002183918782977
2015-09,0.00847311301199476,-0.14574496562592681
2015-10,0.04898542178510976,0.07383028272655792
2015-11,0.046021367940120364,0.07936489300263931
2015-12,-0.029305043791975592,-0.12882985098520292
2016-01,-0.06405238670908145,-0.12631995996227485
